rank,zone,n_tickets,w_tickets,lat,lon,sev_mean,junction_share,veh_mean,n_days,n_hours,approved_share,rejected_share,top_violation,top_vehicle,police_station,junction_name,address,peak_hour,peak_dow,persistence,c_volume,c_severity,c_junction,c_vehicle,c_persistence,CIS,tier
288,208_221,154,124.0,12.981385099858818,77.60637226684622,0.5418831,1.0,0.3403896,32,12,0.487012987012987,0.2597402597402597,NO PARKING,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",8,Monday,0.328,0.3741925,0.16706026,1.0,0.09776157,0.3159746657283603,41.410606651724876,Medium
289,211_184,64,61.75,12.985086377178375,77.55551796850722,0.53828126,1.0,0.54843754,36,14,0.34375,0.046875,WRONG PARKING,CAR,Rajajinagar,BTP061 - Bhashyam Circle,"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",4,Sunday,0.37733333333333335,0.25065723,0.16051143,1.0,0.49162784,0.3680506685432794,41.38257470136583,Medium
290,208_202,48,46.5,12.98043949375,77.5797325125,0.553125,1.0,0.67520833,20,10,0.4583333333333333,0.041666666666666664,WRONG PARKING,CAR,Upparpet,BTP058 - Subbanna Junction,"Seshadri Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",8,Sunday,0.2466666666666667,0.20074712,0.18750009,1.0,0.7316242,0.23011963406052077,41.33109006671567,Medium
291,210_179,111,111.0,12.98346976936937,77.54879166396397,0.5400901,1.0,0.40612614,15,12,0.018018018018018018,0.0,WRONG PARKING,SCOOTER,Magadi Road,"BTP024 - NPS, Vijayanagar","Pramukh Swami Maharaj Road, Industrial Town, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",4,Sunday,0.26,0.35450748,0.16380021,1.0,0.2222108,0.2441942294159043,41.16681800506365,Medium
292,188_205,103,61.0,12.954152080582524,77.58401160194174,0.5665049,1.0,0.54291266,12,12,0.2815533980582524,0.5436893203883495,WRONG PARKING,CAR,City Market,BTP120 - Lalbagh Main Gate Junction,"Karumbigal Road, Mantri Blossom, Doddamavalli, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",10,Monday,0.248,0.24850178,0.21182713,1.0,0.48116842,0.2315270935960591,41.120194753475964,Medium
293,197_203,91,75.25,12.965967932967033,77.58157764945055,0.55,1.0,0.50087917,25,10,0.5824175824175825,0.23076923076923078,WRONG PARKING,PASSENGER AUTO,Halasuru Gate,"BTP080 - NR Road, SP Road Junction","EV Lane, Maldarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",7,Friday,0.26666666666666666,0.2855868,0.18181826,1.0,0.40159264,0.25123152709359603,41.06923608246989,Medium
294,203_180,113,90.5,12.97385550795794,77.54957474671681,0.53495574,1.0,0.4241593,36,13,0.17699115044247787,0.26548672566371684,NO PARKING,SCOOTER,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road","1st Cross Road, Vidyaranya Nagar, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",11,Tuesday,0.3606666666666667,0.31826907,0.15446503,1.0,0.25635028,0.35045742434905,41.06912074661712,Medium
295,231_183,1009,914.5,13.012301875421208,77.55388459365709,0.50748265,0.0,0.50167495,140,18,0.29534192269573833,0.12487611496531219,WRONG PARKING,CAR,Malleshwaram,No Junction,"Da Ra Bendre Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",10,Sunday,0.86,0.7311196,0.104513966,0.0,0.40309918,0.8775510204081632,41.008537945394615,Medium
296,194_214,283,266.5,12.962086931802121,77.59631176819788,0.4581272,1.0,0.3,32,8,0.6113074204946997,0.07773851590106007,NO PARKING,SCOOTER,Ashok Nagar,"BTP101 - Blood Bank Circle, KH Road","Andree Road, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",3,Tuesday,0.2613333333333333,0.5105716,0.014776803,1.0,0.021297935,0.2456016889514426,40.90842286564599,Medium
297,204_222,92,60.5,12.975045727173912,77.60779555326087,0.55760866,1.0,0.5126087,27,13,0.15217391304347827,0.45652173913043476,NO PARKING,PASSENGER AUTO,Cubbon Park,BTP051 - Safina Plaza Junction,"Mahatma Gandhi Road, Cauvery Junction, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",9,Monday,0.32466666666666666,0.24705032,0.19565217,1.0,0.42379844,0.3124560168895144,40.900610214981455,Medium
298,205_205,58,52.0,12.976677737931034,77.58368304655173,0.57758623,1.0,0.5322414,27,11,0.7758620689655172,0.13793103448275862,WRONG PARKING,CAR,Upparpet,BTP037 - KR Circle,"Palace Road, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",4,Tuesday,0.29133333333333333,0.2203868,0.23197502,1.0,0.4609661,0.2772695285010556,40.895268854427556,Medium
299,208_208,105,96.75,12.981026637718635,77.58843223896636,0.484,1.0,0.54314286,31,11,0.638095238095238,0.10476190476190476,NO PARKING,CAR,Cubbon Park,BTP052 - CID Carlton House Junction,"D Devaraj Urs Road, Karnataka Bhavan Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",7,Thursday,0.30733333333333335,0.33011332,0.061818246,1.0,0.48160422,0.2941590429275158,40.85705573949111,Medium
300,182_165,30,25.5,12.94572344,77.52875594333334,0.69900006,1.0,0.5336667,18,6,0.4666666666666667,0.2,WRONG PARKING,SCOOTER,Byatarayanapura,BTP098 - Nayandahalli Junction,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",6,Tuesday,0.172,0.096135914,0.4527274,1.0,0.46366435,0.15130190007037295,40.83260508399669,Medium
301,228_196,1107,1020.0,13.007786104426378,77.5711502509485,0.52353203,0.0,0.489991,120,15,0.4254742547425474,0.10478771454381211,WRONG PARKING,CAR,Malleshwaram,No Junction,"Sri Venkataranga Ayangar Road, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",9,Sunday,0.73,0.75067055,0.13369466,0.0,0.38097972,0.7403237156931738,40.82886890358148,Medium
302,184_215,99,96.75,12.948831318181819,77.59794389393939,0.52272725,1.0,0.4569697,23,12,0.08080808080808081,0.030303030303030304,WRONG PARKING,SCOOTER,Wilson Garden,"BTP123 - 10th Cross, Wilson Garden","H Siddiah Road, Narayanpura, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",8,Thursday,0.292,0.33011332,0.13223143,1.0,0.31846538,0.27797325826882474,40.82413875830165,Medium
303,219_265,112,102.25,12.995572222209564,77.66702184114096,0.8379464,0.0,0.643125,47,16,0.44642857142857145,0.11607142857142858,PARKING IN A MAIN ROAD,CAR,Mahadevapura,No Junction,"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",2,Friday,0.45466666666666666,0.3399258,0.7053571,0.0,0.67088556,0.44968332160450386,40.73701901325955,Medium
304,222_196,1092,939.15,12.999646212153735,77.57136476310833,0.5095696,0.0,0.5194597,136,14,0.33791208791208793,0.18223443223443223,WRONG PARKING,CAR,Malleshwaram,No Junction,"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",10,Sunday,0.7773333333333333,0.73588216,0.1083084,0.0,0.43676844,0.7902885292047854,40.734157029861805,Medium
305,208_196,55,47.5,12.980428163636363,77.5719749690909,0.57454544,1.0,0.5950909,23,8,0.38181818181818183,0.18181818181818182,WRONG PARKING,PASSENGER AUTO,Sheshadripuram,BTP057 - Anand Rao Junction,"Seshadri Road, Ayurvedic Hospital Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1,Wednesday,0.22533333333333333,0.20448177,0.2264463,1.0,0.5799498,0.2076002814919071,40.69351994350584,Medium
306,209_199,55,49.75,12.982450261818181,77.57588427454546,0.5409091,1.0,0.6181818,25,12,0.38181818181818183,0.12727272727272726,NO PARKING,CAR,High ground,BTP057 - Anand Rao Junction,"Loop Road, C Ranga Swamy Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",7,Sunday,0.3,0.21261062,0.16528934,1.0,0.6236644,0.28641801548205487,40.6744291109048,Medium
307,194_215,246,236.25,12.962274027642277,77.59811085813008,0.47378048,1.0,0.30426833,24,8,0.532520325203252,0.052845528455284556,NO PARKING,SCOOTER,Ashok Nagar,BTP100 - Richmond Circle,"Cronwell Road, Vaswani Centropolis, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",4,Thursday,0.22933333333333333,0.48905993,0.043237314,1.0,0.02937851,0.21182266009852216,40.61004139872938,Medium
308,210_180,92,75.5,12.98378007173913,77.54920007934783,0.5565218,1.0,0.44206524,23,12,0.2608695652173913,0.2391304347826087,WRONG PARKING,SCOOTER,Magadi Road,"BTP024 - NPS, Vijayanagar","20th Main Road, Jedehalli, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",7,Saturday,0.292,0.2861736,0.193676,1.0,0.29024896,0.27797325826882474,40.54019843560449,Medium
309,208_218,79,70.75,12.980671568550925,77.60254316545426,0.54810125,1.0,0.4636709,36,11,0.3924050632911392,0.13924050632911392,WRONG PARKING,SCOOTER,Shivajinagar,BTP211 - Central Street Junction,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",11,Monday,0.32733333333333337,0.27468273,0.17836596,1.0,0.33115175,0.31527093596059114,40.537270883401035,Medium
310,213_172,83,75.35,12.987785119277108,77.53816831325302,0.5463856,1.0,0.48192772,28,9,0.21686746987951808,0.10843373493975904,WRONG PARKING,CAR,Vijayanagara,BTP208 - Havanur Circle,"1st Main Road, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",10,Wednesday,0.262,0.2858218,0.17524657,1.0,0.36571467,0.24630541871921183,40.50512795854966,Medium
311,217_186,144,108.0,12.992626147916667,77.55800803680556,0.54791665,1.0,0.37777779,11,11,0.6458333333333334,0.3333333333333333,WRONG PARKING,SCOOTER,Rajajinagar,BTP009 - Prakash Nagar Junction,"7th Cross Road, Prakash Nagar, Bengaluru, Karnataka. Pin-560021 (India)",3,Friday,0.22733333333333333,0.34964055,0.17803033,1.0,0.16854306,0.20971147079521463,40.47072236580193,Medium
312,193_247,43,37.0,12.960341231508487,77.64240905283297,0.5697674,1.0,0.65232563,28,9,0.3953488372093023,0.18604651162790697,NO PARKING,MAXI-CAB,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop","Old Airport Road, Carlton Towers, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",4,Tuesday,0.262,0.16074726,0.21775898,1.0,0.68830377,0.24630541871921183,40.416220552815595,Medium
313,197_169,233,181.25,12.966175232618026,77.53485254077253,0.48991418,1.0,0.31403437,20,12,0.3562231759656652,0.296137339055794,NO PARKING,SCOOTER,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout","22nd Main Road, Nethravathi Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",8,Sunday,0.28,0.44178385,0.0725713,1.0,0.047867108,0.2653061224489796,40.40844852884053,Medium
314,214_211,183,171.0,12.989030074444694,77.59238195315451,0.4885246,0.7486338797814208,0.5192897,55,12,0.6065573770491803,0.08743169398907104,NO PARKING,CAR,High ground,BTP034 - LRDE Junction,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",9,Friday,0.42,0.43140757,0.07004477,0.7486338797814208,0.43644652,0.41308937368050663,40.318420089223636,Medium
315,213_184,71,67.25,12.987540584507043,77.55506926338028,0.5021127,1.0,0.5880282,27,12,0.4507042253521127,0.07042253521126761,WRONG PARKING,CAR,Rajajinagar,"BTP210 - 50th cross, 12th Main , Rajajinagar","50th Cross Road, Block 3, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",3,Friday,0.308,0.2657181,0.094750404,1.0,0.566579,0.294862772695285,40.28331133894187,Medium
316,215_185,90,80.25,12.990018576666666,77.55620921555555,0.5377778,1.0,0.46400002,22,11,0.2111111111111111,0.14444444444444443,WRONG PARKING,SCOOTER,Rajajinagar,"BTP204 - ESI Hospital, Rajajinagar","10th Main Road, ESI Hospital Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",13,Monday,0.2713333333333333,0.29697204,0.15959603,1.0,0.33177483,0.25615763546798026,40.2632457645509,Medium
317,181_214,82,73.0,12.94470293414634,77.59708028780489,0.48048782,1.0,0.59243906,30,13,0.13414634146341464,0.14634146341463414,NO PARKING,CAR,Wilson Garden,"BTP123 - 10th Cross, Wilson Garden","Hosur Road, Wilson Manor Apartment, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",9,Monday,0.33666666666666667,0.28021774,0.055432476,1.0,0.5749294,0.3251231527093596,40.193958347800915,Medium
318,205_209,170,123.5,12.976926515882353,77.58936457411764,0.4982353,1.0,0.4119412,18,12,0.19411764705882353,0.36470588235294116,NO PARKING,SCOOTER,Cubbon Park,BTP041 - Gopal Gowda Circle,"Dr Ambedkar Road, Ambedkar Veedhi, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2,Monday,0.272,0.373474,0.08770058,1.0,0.23321958,0.2568613652357495,40.16491378493014,Medium
319,212_202,73,67.75,12.986720053424657,77.58025254931508,0.5084931,1.0,0.5390411,38,12,0.5068493150684932,0.0958904109589041,NO PARKING,CAR,High ground,BTP054 - Shivananda Circle,"North Park Road, Sri Katan Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)",7,Thursday,0.352,0.26702657,0.1063512,1.0,0.47383898,0.3413089373680506,40.15618943569318,Medium
320,160_213,45,36.75,12.916823155555555,77.59541908222222,0.67,1.0,0.4448889,12,8,0.3333333333333333,0.24444444444444444,WRONG PARKING,SCOOTER,Jayanagara,"BTP179 - 9th Block, 28th Main, Jayanagar","South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",2,Sunday,0.18133333333333335,0.15956405,0.40000007,1.0,0.29559454,0.16115411681914146,40.15222958604334,Medium
321,171_206,114,96.75,12.931432053508773,77.58601940438597,0.47149122,1.0,0.51842105,38,11,0.5701754385964912,0.20175438596491227,NO PARKING,CAR,Jayanagara,BTP219 - Canara Bank Junction,"11th Main Road, Geetha Colony, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",9,Saturday,0.33533333333333337,0.33011332,0.039075013,1.0,0.4348021,0.32371569317382126,40.11601886568482,Medium
322,197_205,81,63.75,12.965665672839506,77.58429491234568,0.5339506,1.0,0.4971605,33,13,0.35802469135802467,0.2839506172839506,WRONG PARKING,PASSENGER AUTO,Halasuru Gate,"BTP080 - NR Road, SP Road Junction","Sunkalpet Main Road, Halsurpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",5,Wednesday,0.3486666666666667,0.25628138,0.15263756,1.0,0.39455262,0.3377902885292048,40.10921538374233,Medium
323,205_179,47,38.0,12.976774880851062,77.54868994042553,0.52446806,1.0,0.71276593,26,12,0.23404255319148937,0.2553191489361702,WRONG PARKING,LORRY/GOODS VEHICLE,Magadi Road,BTP069 - MC Circle,"Pramukh Swami Maharaj Road, Shri Balagangadharanath Swamiji Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",11,Saturday,0.304,0.16540352,0.13539654,1.0,0.80272645,0.29064039408866993,40.10770539638444,Medium
324,207_211,87,84.0,12.9796757,77.59255740114942,0.5149425,1.0,0.45678163,31,13,0.4827586206896552,0.04597701149425287,NO PARKING,CAR,Cubbon Park,BTP047 - Vidhan Soudha Metro Station,"Dr Ambedkar Road, Shanthaveri Gopalagowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",10,Monday,0.3406666666666667,0.30506012,0.11807738,1.0,0.3181093,0.32934553131597466,40.10358713121585,Medium
325,198_211,41,40.25,12.967885414634146,77.59242302682927,0.63536584,1.0,0.4768293,12,10,0.04878048780487805,0.024390243902439025,NO PARKING,SCOOTER,Halasuru Gate,BTP203 - RRMR Junction,"1st Cross Road, Sampangiram Nagar, Bengaluru, Karnataka. Pin-560027 (India)",23,Sunday,0.21466666666666667,0.17545792,0.33702883,1.0,0.3560626,0.19634060520760027,40.09078003057161,Medium
326,231_184,1060,910.6,13.011822209528301,77.5545368826415,0.51632077,0.0,0.4914434,121,16,0.30377358490566037,0.18679245283018867,WRONG PARKING,PASSENGER AUTO,Malleshwaram,No Junction,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",9,Monday,0.7506666666666666,0.7303543,0.120583266,0.0,0.3837293,0.7621393384940183,40.03566842020229,Medium
327,172_205,105,96.0,12.932565404761904,77.58376600857143,0.51542854,1.0,0.41857144,25,13,0.2857142857142857,0.11428571428571428,NO PARKING,SCOOTER,Jayanagara,BTP218 - Syndicate Bank Junction,"9th Main Road, Da Ra Bendre Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",5,Sunday,0.31666666666666665,0.3287326,0.11896105,1.0,0.24577163,0.3040112596762843,39.97749586106605,Medium
328,233_184,78,69.75,13.01515492051282,77.55508558589744,0.9179487,0.0,0.6,21,15,0.3974358974358974,0.14102564102564102,PARKING IN A MAIN ROAD,CAR,Malleshwaram,No Junction,"Mumbai Bengaluru Highway, WTC Annexe, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",11,Saturday,0.334,0.27216682,0.85081583,0.0,0.5892435,0.3223082336382829,39.91175285239693,Medium
329,198_207,54,50.25,12.967652866072383,77.58691283983883,0.5472222,1.0,0.57481486,34,8,0.48148148148148145,0.09259259259259259,NO PARKING,PASSENGER AUTO,Halasuru Gate,BTP075 - Police Corner,"District Office Road, Police Corner Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",4,Sunday,0.2693333333333333,0.21436805,0.17676768,1.0,0.5415641,0.25404644616467276,39.87817896982258,Medium
330,361_275,580,544.0,13.187039042758622,77.68055669086206,0.5440517,0.0,0.6199138,93,19,0.4017241379310345,0.08275862068965517,WRONG PARKING,CAR,Chikkajala,No Junction,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",4,Saturday,0.6886666666666666,0.63814217,0.17100316,0.0,0.6269433,0.6966924700914848,39.846410635887615,Medium
331,231_181,294,273.75,13.011541150680273,77.55127483401361,0.53775513,0.35034013605442177,0.56278914,90,12,0.3163265306122449,0.09183673469387756,WRONG PARKING,CAR,Malleshwaram,No Junction,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",6,Monday,0.56,0.51536524,0.15955484,0.35034013605442177,0.51879764,0.5608726249120338,39.83015891834796,Medium
332,175_283,462,420.75,12.936267958826557,77.69224919739787,0.67554116,0.0,0.52168834,62,12,0.4264069264069264,0.11904761904761904,PARKING IN A MAIN ROAD,MAXI-CAB,HAL Old Airport,No Junction,"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",4,Wednesday,0.448,0.5921857,0.41007486,0.0,0.44098756,0.44264602392681207,39.81470567283708,Medium
333,204_177,82,76.0,12.97544037804878,77.5450832390244,0.5371951,1.0,0.47256097,23,9,0.3902439024390244,0.0975609756097561,WRONG PARKING,CAR,Vijayanagara,BTP020 - Hosahalli Metro Station,"1st Cross Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",9,Saturday,0.242,0.2873414,0.15853658,1.0,0.347982,0.22519352568613651,39.752117870591796,Medium
334,210_222,346,252.25,12.983405658092485,77.6078275465318,0.54942197,0.7225433526011561,0.30335262,36,10,0.25722543352601157,0.36127167630057805,WRONG PARKING,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,"Jewellers Street, Quadrant Square, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",9,Monday,0.31066666666666665,0.5007587,0.18076727,0.7225433526011561,0.02764494,0.29767769176636166,39.749830867195534,Medium
335,193_243,107,99.5,12.961143185981308,77.63665910747665,0.46588784,1.0,0.49514022,37,12,0.6355140186915887,0.09345794392523364,NO PARKING,CAR,Halasur,"BTP145 - Sri Hatti Maramma Circle, Domluru","Old Airport Road, Attimaramma Circle, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",4,Saturday,0.348,0.33508664,0.028887061,1.0,0.39072797,0.33708655876143556,39.72835451783973,Medium
336,205_208,106,89.5,12.9767955,77.58862754056604,0.47547168,1.0,0.5374528,31,10,0.20754716981132076,0.20754716981132076,NO PARKING,CAR,Cubbon Park,BTP037 - KR Circle,"D Devaraj Urs Road, Ambedkar Veedhi, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",7,Monday,0.2906666666666667,0.3162992,0.046312205,1.0,0.4708321,0.2765657987332864,39.70225633297019,Medium
337,258_142,65,32.0,13.04890694923077,77.49698398923077,0.9707692,0.0,0.73953843,30,10,0.23076923076923078,0.676923076923077,PARKING IN A MAIN ROAD,CAR,Chikkabanavara,No Junction,"Mumbai Bengaluru Highway, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",11,Wednesday,0.2866666666666667,0.13545807,0.94685304,0.0,0.85341084,0.27234342012667134,39.66990300157303,Medium
338,186_222,102,97.5,12.95158401372549,77.60761836470589,0.46764708,1.0,0.55833334,20,9,0.35294117647058826,0.058823529411764705,NO PARKING,CAR,Ashok Nagar,BTP132 - Anepalya Junction,"Anepalya Main Road, Muthanna Garden, Nilsandra, Bengaluru, Karnataka. Pin-560030 (India)",10,Tuesday,0.23000000000000004,0.3314834,0.032085665,1.0,0.5103621,0.21252638986629138,39.63294514923512,Medium
339,187_175,37,32.5,12.953209610002485,77.54206630619117,0.6189189,1.0,0.5421622,16,11,0.2972972972972973,0.16216216216216217,NO PARKING,PASSENGER AUTO,Byatarayanapura,BTP096 - Gali Anjaneya Temple,"Mysore Road, Iyannashetty Layout, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",1,Friday,0.24733333333333335,0.13815369,0.3071253,1.0,0.47974765,0.23082336382828994,39.619222541328554,Medium
340,208_180,85,76.75,12.981130029411764,77.54920125058823,0.48,1.0,0.5389412,33,13,0.3176470588235294,0.12941176470588237,NO PARKING,CAR,Magadi Road,"BTP024 - NPS, Vijayanagar","20th Main Road, GEF Block, Industrial Town, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",3,Monday,0.3486666666666667,0.28907895,0.054545503,1.0,0.47364986,0.3377902885292048,39.59580220780182,Medium
341,167_223,63,58.5,12.925886658730159,77.60880381269841,0.91904765,0.0,0.64476186,34,11,0.746031746031746,0.09523809523809523,PARKING IN A MAIN ROAD,MAXI-CAB,Mico Layout,No Junction,"Thavarekere Main Road, Brindavan Nagar, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",11,Thursday,0.31933333333333336,0.24112391,0.8528139,0.0,0.6739844,0.306826178747361,39.56779037433808,Medium
342,200_198,73,64.75,12.970384932876712,77.57476796849315,0.56164384,0.9863013698630136,0.44972605,20,12,0.4657534246575342,0.1506849315068493,WRONG PARKING,SCOOTER,City Market,BTP043 - Upparpet Junction,"Old Tharagupete Cross Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",7,Thursday,0.28,0.25902864,0.20298885,0.9863013698630136,0.30475202,0.2653061224489796,39.56733256222267,Medium
343,189_178,47,39.5,12.955760836170212,77.54625801702127,0.5638298,1.0,0.59893614,19,11,0.2553191489361702,0.2127659574468085,NO PARKING,CAR,Byatarayanapura,"BTP094 - Sri Skanda Complex, Mysore Road","1st Main Road, Hosaguddadahalli, New Guddadahalli, Bengaluru, Karnataka. Pin-560026 (India)",4,Tuesday,0.25933333333333336,0.17216873,0.20696329,1.0,0.5872294,0.24349049964813513,39.50718661042731,Medium
344,214_180,63,55.5,12.988926993650795,77.55012501428573,0.5611111,1.0,0.46920636,26,12,0.2222222222222222,0.15873015873015872,WRONG PARKING,SCOOTER,Vijayanagara,BTP018 - Dhobi Ghat Junction,"Sri B Gangaiah Road, Birangi Palya, Shiva Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",10,Friday,0.304,0.23185003,0.20202021,1.0,0.34163123,0.29064039408866993,39.48797280785485,Medium
345,221_176,65,59.75,12.997965280262308,77.54380242576416,0.53307694,1.0,0.5175384,26,11,0.38461538461538464,0.1076923076923077,WRONG PARKING,CAR,Vijayanagara,BTP205 - Modi Hospital Junction,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",11,Thursday,0.28733333333333333,0.24485084,0.15104905,1.0,0.43313116,0.2730471498944405,39.407788522221686,Medium
346,205_210,138,126.75,12.97737012173913,77.59106533985508,0.5086956,1.0,0.33876812,17,12,0.3695652173913043,0.10869565217391304,NO PARKING,SCOOTER,Cubbon Park,BTP041 - Gopal Gowda Circle,"Dr Ambedkar Road, Shanthaveri Gopalagowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",2,Monday,0.268,0.37809336,0.10671934,1.0,0.09469185,0.2526389866291344,39.37455801588184,Medium
347,193_205,49,46.75,12.960804220408164,77.58379734693877,0.5285714,1.0,0.63469386,17,10,0.2857142857142857,0.061224489795918366,NO PARKING,CAR,Halasuru Gate,"BTP168 - MSR Building, JC Road","Model Road, Kumbaragundi, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",1,Sunday,0.2346666666666667,0.20168808,0.1428572,1.0,0.65492415,0.21745249824067558,39.35427861376014,Medium
348,196_173,343,277.75,12.964554411370262,77.53979017755103,0.5472303,0.5335276967930029,0.40868807,47,12,0.5335276967930029,0.2536443148688047,WRONG PARKING,SCOOTER,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout","Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",11,Saturday,0.388,0.5179562,0.17678243,0.5335276967930029,0.22706091,0.3793103448275862,39.28229386112949,Medium
349,190_290,404,287.45,12.956964933494294,77.70141736398205,0.6243812,0.0,0.59121287,104,18,0.31435643564356436,0.3787128712871287,NO PARKING,BUS (BMTC/KSRTC),HAL Old Airport,No Junction,"HAL Airport Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",3,Monday,0.716,0.5240879,0.31705675,0.0,0.57260805,0.7255453905700211,39.251030153273106,Medium
350,209_180,58,58.0,12.982367334482758,77.54917370000001,0.5387931,1.0,0.5215517,18,11,0.20689655172413793,0.0,WRONG PARKING,CAR,Magadi Road,"BTP024 - NPS, Vijayanagar","20th Main Road, Jedehalli, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",7,Saturday,0.25533333333333336,0.23961125,0.16144203,1.0,0.44072893,0.23926812104152007,39.22241438843472,Medium
351,196_302,1010,869.75,12.964838045346534,77.71816401722772,0.54816836,0.0,0.55253464,63,12,0.4504950495049505,0.18514851485148515,WRONG PARKING,MAXI-CAB,HAL Old Airport,No Junction,"ITPL Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",10,Wednesday,0.452,0.722136,0.17848799,0.0,0.49938428,0.44686840253342713,39.1994868742694,Medium
